AN,-29.976847337260605, -51.178939042103906
AP,-29.98784457412015, -51.18294660032819
CN,-29.918858493822547, -51.182113082887675
ES,-29.852064432978036, -51.1793896085975
FN,-29.70101767375005, -51.13502857860123
FR,-29.997281045757514, -51.197545662491656
FT,-29.938866269908466, -51.17737927922017
IN,-29.715861886314514, -51.13495406937629
LP,-29.83279261288005, -51.16551817975014
MR,-30.026275835203272, -51.2281675979668
MV,-29.90372696720562, -51.178849890210095
NH,-29.686628655030475, -51.132970087179494
NT,-29.95418562190877, -51.17663203873685
PB,-29.876620976996126, -51.180899508058296
RD,-30.022455286559317, -51.22017708902535
RS,-29.74899091710752, -51.14511254180635
SC,-29.82324670039151, -51.14913173497507
SF,-29.72987316575098, -51.14040689637857
SL,-29.887654833532284, -51.17954741547075
SO,-29.769394180542076, -51.1413609092336
SP,-30.00630713449532, -51.20942108773414
UN,-29.7868604417246, -51.140511917946164